,n,avg_real,avg_cpu,med_cost,matrix,neighborhood_size
0,15,713800.0,0.0,5.362451207902158,matrices/15_random_adj_mat_4.txt,1
0,15,654300.0,0.0,5.516537772938092,matrices/15_random_adj_mat_5.txt,1
0,15,595800.0,0.0,4.711869979408127,matrices/15_random_adj_mat_6.txt,1
0,15,682100.0,0.0,4.464401586629817,matrices/15_random_adj_mat_7.txt,1
0,15,821100.0,0.0,5.637178696749024,matrices/15_random_adj_mat_8.txt,1
0,15,709700.0,0.0,5.9259647246356995,matrices/15_random_adj_mat_9.txt,1
0,20,816000.0,0.0,7.164333754241,matrices/20_random_adj_mat_0.txt,1
0,20,785700.0,0.0,8.809066820847843,matrices/20_random_adj_mat_1.txt,1
0,20,935100.0,0.0,8.559000946213676,matrices/20_random_adj_mat_2.txt,1
0,20,835000.0,0.0,7.637396613394995,matrices/20_random_adj_mat_3.txt,1
0,20,777300.0,15625000.0,9.575627272835863,matrices/20_random_adj_mat_4.txt,1
0,20,932400.0,0.0,7.355028437066481,matrices/20_random_adj_mat_5.txt,1
0,20,890400.0,0.0,8.248370262762457,matrices/20_random_adj_mat_6.txt,1
0,20,758400.0,0.0,7.9570035392582374,matrices/20_random_adj_mat_7.txt,1
0,20,780400.0,0.0,8.695066308712375,matrices/20_random_adj_mat_8.txt,1
0,20,715300.0,0.0,7.7375581044722725,matrices/20_random_adj_mat_9.txt,1
0,25,1129500.0,0.0,10.854012217871988,matrices/25_random_adj_mat_0.txt,1
0,25,1009600.0,0.0,9.007404006582941,matrices/25_random_adj_mat_1.txt,1
0,25,1054500.0,15625000.0,10.134967074174025,matrices/25_random_adj_mat_2.txt,1
0,25,1066400.0,0.0,10.343868237227134,matrices/25_random_adj_mat_3.txt,1
0,25,953100.0,0.0,11.044774947930637,matrices/25_random_adj_mat_4.txt,1
0,25,998900.0,0.0,12.263653809201733,matrices/25_random_adj_mat_5.txt,1
0,25,931000.0,0.0,9.723247373029837,matrices/25_random_adj_mat_6.txt,1
0,25,963200.0,0.0,10.796551823691457,matrices/25_random_adj_mat_7.txt,1
0,25,946200.0,0.0,10.56212005407507,matrices/25_random_adj_mat_8.txt,1
0,25,995900.0,0.0,9.586099469000127,matrices/25_random_adj_mat_9.txt,1
0,30,1487200.0,15625000.0,14.071831130636012,matrices/30_random_adj_mat_0.txt,1
0,30,1214900.0,0.0,12.833371804586841,matrices/30_random_adj_mat_1.txt,1
