,n,avg_real,avg_cpu,med_cost,matrix,expanded nodes
0,20,26255846200.0,26156250000.0,3.7074426667791287,matrices/20_random_adj_mat_0.txt,194943
0,20,4230806600.0,4234375000.0,4.375786140605382,matrices/20_random_adj_mat_1.txt,20638
0,20,863712000.0,859375000.0,3.9633563103617404,matrices/20_random_adj_mat_2.txt,1723
0,20,3152223300.0,3156250000.0,4.1051862170918,matrices/20_random_adj_mat_3.txt,7628
0,20,211300500.0,218750000.0,3.483894774010487,matrices/20_random_adj_mat_4.txt,390
0,20,170143600.0,171875000.0,3.3650292539189626,matrices/20_random_adj_mat_5.txt,216
0,20,206469900.0,203125000.0,3.8691641956046054,matrices/20_random_adj_mat_6.txt,341
0,20,292223800.0,296875000.0,3.333998744542598,matrices/20_random_adj_mat_7.txt,528
0,20,13828580900.0,13734375000.0,4.662431349587166,matrices/20_random_adj_mat_8.txt,85613
0,20,834938000.0,828125000.0,3.652638422142972,matrices/20_random_adj_mat_9.txt,1688
0,25,434219400.0,437500000.0,3.6342762599167586,matrices/25_random_adj_mat_0.txt,1559
0,25,70195654200.0,69640625000.0,4.463066510004422,matrices/25_random_adj_mat_1.txt,336785
0,25,60503272400.0,60234375000.0,3.9882587006723185,matrices/25_random_adj_mat_2.txt,236556
0,25,17537476000.0,17437500000.0,4.208921780176543,matrices/25_random_adj_mat_3.txt,58584
0,25,178663153000.0,177812500000.0,4.56707300546974,matrices/25_random_adj_mat_4.txt,993832
0,25,1204937500.0,1203125000.0,4.3329301064023955,matrices/25_random_adj_mat_5.txt,464
0,25,10468414900.0,10406250000.0,3.85151350992168,matrices/25_random_adj_mat_6.txt,29179
0,25,17619930700.0,17562500000.0,4.54583136685953,matrices/25_random_adj_mat_7.txt,45010
0,25,1611336000.0,1625000000.0,4.196332436506655,matrices/25_random_adj_mat_8.txt,6517
0,25,4944819900.0,4937500000.0,3.8068917710510775,matrices/25_random_adj_mat_9.txt,12842
0,30,5107122800.0,5078125000.0,4.510269489491204,matrices/30_random_adj_mat_0.txt,8561
0,30,55828470800.0,55562500000.0,4.598312744721495,matrices/30_random_adj_mat_1.txt,97906
0,30,88930309000.0,88546875000.0,4.78510598481993,matrices/30_random_adj_mat_2.txt,294260
0,30,46085359100.0,45953125000.0,4.935912045506208,matrices/30_random_adj_mat_3.txt,71574
0,30,60396465900.0,60125000000.0,4.6616956398895395,matrices/30_random_adj_mat_4.txt,124741
0,30,11919111400.0,11843750000.0,4.983331747361791,matrices/30_random_adj_mat_5.txt,18142
0,30,38524875800.0,38375000000.0,4.191485263985936,matrices/30_random_adj_mat_6.txt,138078
0,30,409511388300.0,385453125000.0,4.727628235175883,matrices/30_random_adj_mat_7.txt,1944403
0,30,82107757800.0,80968750000.0,4.906840716452356,matrices/30_random_adj_mat_8.txt,239212
0,30,27324461900.0,27234375000.0,4.463347246473458,matrices/30_random_adj_mat_9.txt,40398
