,n,avg_real,avg_cpu,med_cost,matrix,alpha
0,15,7996288.0,6250000.0,7.475150291706356,matrices/15_random_adj_mat_1.txt,1
0,15,5234644.0,5000000.0,7.72175334942001,matrices/15_random_adj_mat_2.txt,1
0,15,4958800.0,5000000.0,7.82379465993388,matrices/15_random_adj_mat_3.txt,1
0,15,5003848.0,5000000.0,7.968129051374182,matrices/15_random_adj_mat_4.txt,1
0,15,5040548.0,5000000.0,7.318031024121981,matrices/15_random_adj_mat_5.txt,1
0,15,4980772.0,5000000.0,6.243455482459826,matrices/15_random_adj_mat_6.txt,1
0,15,5047100.0,5000000.0,6.639719426548403,matrices/15_random_adj_mat_7.txt,1
0,15,5014672.0,5000000.0,7.236826956143076,matrices/15_random_adj_mat_8.txt,1
0,15,5022404.0,5000000.0,7.314033195890846,matrices/15_random_adj_mat_9.txt,1
0,20,6162644.0,5625000.0,8.67054034026913,matrices/20_random_adj_mat_0.txt,1
0,20,6060748.0,6250000.0,10.71724595021465,matrices/20_random_adj_mat_1.txt,1
0,20,6172816.0,6250000.0,11.671071226620759,matrices/20_random_adj_mat_2.txt,1
0,20,6125060.0,6250000.0,10.076859580989574,matrices/20_random_adj_mat_3.txt,1
0,20,6062704.0,6250000.0,11.430182842325749,matrices/20_random_adj_mat_4.txt,1
0,20,6029580.0,5625000.0,9.220517744596949,matrices/20_random_adj_mat_5.txt,1
0,20,6060016.0,6250000.0,11.2897417670393,matrices/20_random_adj_mat_6.txt,1
0,20,6030356.0,5625000.0,9.535210635095943,matrices/20_random_adj_mat_7.txt,1
0,20,6319652.0,5625000.0,10.801697740243219,matrices/20_random_adj_mat_8.txt,1
0,20,6077976.0,6250000.0,9.756402176238092,matrices/20_random_adj_mat_9.txt,1
0,25,7065464.0,6875000.0,12.824407811045575,matrices/25_random_adj_mat_0.txt,1
0,25,7135472.0,7500000.0,12.801472318618366,matrices/25_random_adj_mat_1.txt,1
0,25,7617464.0,7500000.0,12.942022734315032,matrices/25_random_adj_mat_2.txt,1
0,25,7368804.0,6875000.0,13.513273827926618,matrices/25_random_adj_mat_3.txt,1
0,25,7167676.0,7500000.0,13.247372738340669,matrices/25_random_adj_mat_4.txt,1
0,25,7162196.0,6875000.0,15.518228896492205,matrices/25_random_adj_mat_5.txt,1
0,25,7153368.0,7500000.0,11.830105814382046,matrices/25_random_adj_mat_6.txt,1
0,25,8009916.0,8125000.0,12.401304125069123,matrices/25_random_adj_mat_7.txt,1
0,25,7156712.0,6875000.0,13.456203112523019,matrices/25_random_adj_mat_8.txt,1
0,25,6997928.0,7500000.0,13.500542273784292,matrices/25_random_adj_mat_9.txt,1
0,30,8110704.0,8125000.0,16.030098546689334,matrices/30_random_adj_mat_0.txt,1
0,30,7967248.0,7500000.0,15.71043668183249,matrices/30_random_adj_mat_1.txt,1
0,30,7864764.0,8125000.0,15.489736305118706,matrices/30_random_adj_mat_2.txt,1
0,30,7909176.0,8125000.0,15.800887704564806,matrices/30_random_adj_mat_3.txt,1
0,30,7923672.0,8125000.0,16.082813583509875,matrices/30_random_adj_mat_4.txt,1
0,30,7903660.0,7500000.0,16.635243763403157,matrices/30_random_adj_mat_5.txt,1
0,30,7991732.0,8125000.0,15.200509341613463,matrices/30_random_adj_mat_6.txt,1
0,30,7883640.0,8125000.0,16.142187607448406,matrices/30_random_adj_mat_7.txt,1
0,30,7881564.0,8125000.0,16.325339510213748,matrices/30_random_adj_mat_8.txt,1
0,30,7853460.0,7500000.0,14.646410001075937,matrices/30_random_adj_mat_9.txt,1
0,30,7866696.0,8125000.0,16.143604691973895,matrices/30_random_adj_mat_0.txt,1
0,30,7839408.0,8125000.0,15.918254508303237,matrices/30_random_adj_mat_1.txt,1
0,30,7923816.0,7500000.0,15.917475726105453,matrices/30_random_adj_mat_2.txt,1
0,30,7930680.0,8125000.0,15.95782308410382,matrices/30_random_adj_mat_3.txt,1
0,30,7846712.0,8125000.0,15.770862331858096,matrices/30_random_adj_mat_4.txt,1
0,30,7900944.0,8125000.0,15.929194910916449,matrices/30_random_adj_mat_5.txt,1
0,30,7928612.0,7500000.0,15.519329394099106,matrices/30_random_adj_mat_6.txt,1
0,30,7875420.0,8125000.0,16.64556174176432,matrices/30_random_adj_mat_7.txt,1
0,30,8009516.0,8125000.0,16.244708565423487,matrices/30_random_adj_mat_8.txt,1
0,30,7942104.0,7500000.0,14.426932999347192,matrices/30_random_adj_mat_9.txt,1
0,40,9944632.0,10000000.0,22.36946005145363,matrices/40_random_adj_mat_0.txt,1
0,40,10054028.0,10000000.0,21.141317976728644,matrices/40_random_adj_mat_1.txt,1
0,40,10023140.0,10000000.0,21.621558318231184,matrices/40_random_adj_mat_2.txt,1
0,40,10004944.0,10000000.0,20.545832755597214,matrices/40_random_adj_mat_3.txt,1
0,40,9940396.0,10000000.0,19.785747504207272,matrices/40_random_adj_mat_4.txt,1
0,40,10063828.0,10625000.0,20.84869076267178,matrices/40_random_adj_mat_5.txt,1
0,40,10014536.0,10000000.0,19.107855628322095,matrices/40_random_adj_mat_6.txt,1
0,40,10009520.0,10000000.0,20.905547436787156,matrices/40_random_adj_mat_7.txt,1
0,40,9938104.0,10000000.0,21.814822837320857,matrices/40_random_adj_mat_8.txt,1
0,40,10217548.0,10000000.0,22.88070165205779,matrices/40_random_adj_mat_9.txt,1
0,50,13394552.0,13750000.0,27.254772207565917,matrices/50_random_adj_mat_0.txt,1
0,50,12830992.0,12500000.0,24.500244159671574,matrices/50_random_adj_mat_1.txt,1
0,50,12143732.0,12500000.0,23.46603217926328,matrices/50_random_adj_mat_2.txt,1
0,50,12100364.0,11875000.0,23.884197507200934,matrices/50_random_adj_mat_3.txt,1
0,50,12020380.0,12500000.0,27.453217835719386,matrices/50_random_adj_mat_4.txt,1
0,50,12069560.0,11875000.0,25.7822129309617,matrices/50_random_adj_mat_5.txt,1
0,50,12014968.0,11875000.0,26.23928247805381,matrices/50_random_adj_mat_6.txt,1
0,50,12008996.0,11875000.0,27.959095474277003,matrices/50_random_adj_mat_7.txt,1
0,50,11894304.0,11875000.0,26.175314744786142,matrices/50_random_adj_mat_8.txt,1
0,50,11955692.0,11875000.0,24.4724345543902,matrices/50_random_adj_mat_9.txt,1
0,5,3369892.0,3125000.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt,0.97
0,5,3771256.0,3750000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,0.97
0,5,3124220.0,3125000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,0.97
0,5,3152820.0,3125000.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,0.97
0,5,3106712.0,3125000.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,0.97
0,5,3133756.0,2500000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,0.97
0,5,3112448.0,3125000.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,0.97
0,5,3148288.0,3125000.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,0.97
0,5,3171404.0,3125000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,0.97
0,5,3164008.0,3125000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,0.97
0,6,3357636.0,3750000.0,2.6603705791553898,matrices/6_random_adj_mat_0.txt,0.97
0,6,3423456.0,3125000.0,2.385794230095342,matrices/6_random_adj_mat_1.txt,0.97
0,6,3350584.0,3750000.0,2.582691013360782,matrices/6_random_adj_mat_2.txt,0.97
0,6,3361016.0,3125000.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,0.97
0,6,3372732.0,3750000.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,0.97
0,6,3355252.0,3125000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,0.97
0,6,3358120.0,3750000.0,1.754749692032551,matrices/6_random_adj_mat_6.txt,0.97
0,6,3369952.0,3125000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,0.97
0,6,3366784.0,3125000.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,0.97
0,6,3406932.0,3125000.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,0.97
0,7,3545896.0,3750000.0,2.548515833666206,matrices/7_random_adj_mat_0.txt,0.97
0,7,3476876.0,3750000.0,2.1138150373113045,matrices/7_random_adj_mat_1.txt,0.97
0,7,3508624.0,3125000.0,2.7655386558697854,matrices/7_random_adj_mat_2.txt,0.97
0,7,3532544.0,3750000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,0.97
0,7,3534700.0,3750000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,0.97
0,7,3510148.0,3125000.0,2.572356446914053,matrices/7_random_adj_mat_5.txt,0.97
0,7,3589004.0,3750000.0,2.3993175115964593,matrices/7_random_adj_mat_6.txt,0.97
0,7,3556536.0,3750000.0,2.9150211715806713,matrices/7_random_adj_mat_7.txt,0.97
0,7,3531184.0,3750000.0,2.313145784495734,matrices/7_random_adj_mat_8.txt,0.97
0,7,3543412.0,3750000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,0.97
0,8,3806596.0,3750000.0,2.1692532406726452,matrices/8_random_adj_mat_0.txt,0.97
0,8,3744844.0,3750000.0,2.648050301666325,matrices/8_random_adj_mat_1.txt,0.97
0,8,3697676.0,3750000.0,2.9682104454840634,matrices/8_random_adj_mat_2.txt,0.97
0,8,3732480.0,3750000.0,2.550030496693405,matrices/8_random_adj_mat_3.txt,0.97
0,8,3790880.0,3750000.0,2.2756674538241,matrices/8_random_adj_mat_4.txt,0.97
0,8,3682792.0,3750000.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt,0.97
0,8,4246432.0,4375000.0,2.6801242091455997,matrices/8_random_adj_mat_6.txt,0.97
0,8,4622488.0,5000000.0,2.6741333665017577,matrices/8_random_adj_mat_7.txt,0.97
0,8,3753640.0,3750000.0,2.9495958253145265,matrices/8_random_adj_mat_8.txt,0.97
0,8,3700480.0,3750000.0,2.443168366398477,matrices/8_random_adj_mat_9.txt,0.97
0,9,4085920.0,3750000.0,2.7960053926201898,matrices/9_random_adj_mat_0.txt,0.97
0,9,3929376.0,3750000.0,3.425061693053154,matrices/9_random_adj_mat_1.txt,0.97
0,9,3904592.0,3750000.0,3.062563078754238,matrices/9_random_adj_mat_2.txt,0.97
0,9,3919656.0,4375000.0,2.5079300159901856,matrices/9_random_adj_mat_3.txt,0.97
0,9,3908848.0,3750000.0,2.7523194761305927,matrices/9_random_adj_mat_4.txt,0.97
0,9,3970676.0,3750000.0,2.735829266110626,matrices/9_random_adj_mat_5.txt,0.97
0,9,3970780.0,3750000.0,2.971889592311323,matrices/9_random_adj_mat_6.txt,0.97
0,9,3889476.0,3750000.0,3.495731383744362,matrices/9_random_adj_mat_7.txt,0.97
0,9,4291812.0,4375000.0,2.955048742678437,matrices/9_random_adj_mat_8.txt,0.97
0,9,4273640.0,4375000.0,2.2771753644261548,matrices/9_random_adj_mat_9.txt,0.97
0,10,4133232.0,4375000.0,2.426402243497892,matrices/10_random_adj_mat_0.txt,0.97
0,10,4166456.0,4375000.0,3.0344197974476317,matrices/10_random_adj_mat_1.txt,0.97
0,10,4158000.0,3750000.0,3.42758424849459,matrices/10_random_adj_mat_2.txt,0.97
0,10,4125028.0,3750000.0,3.344525838947534,matrices/10_random_adj_mat_3.txt,0.97
0,10,4147184.0,4375000.0,3.3181932222255988,matrices/10_random_adj_mat_4.txt,0.97
0,10,4108292.0,3750000.0,2.334051028911734,matrices/10_random_adj_mat_5.txt,0.97
0,10,4127052.0,3750000.0,2.8914559521633945,matrices/10_random_adj_mat_6.txt,0.97
0,10,4143504.0,4375000.0,2.9462735149852763,matrices/10_random_adj_mat_7.txt,0.97
0,10,4140468.0,4375000.0,3.0006191859583344,matrices/10_random_adj_mat_8.txt,0.97
0,10,4117448.0,3750000.0,2.89516936860368,matrices/10_random_adj_mat_9.txt,0.97
0,15,5000336.0,4375000.0,3.9845239590661015,matrices/15_random_adj_mat_0.txt,0.97
0,15,4973824.0,4375000.0,3.7176786003982047,matrices/15_random_adj_mat_1.txt,0.97
0,15,5166260.0,5000000.0,3.762281339198288,matrices/15_random_adj_mat_2.txt,0.97
0,15,5119980.0,5000000.0,3.6127729497149863,matrices/15_random_adj_mat_3.txt,0.97
0,15,5001768.0,5000000.0,3.351695592044239,matrices/15_random_adj_mat_4.txt,0.97
0,15,5053008.0,5625000.0,3.407056578444785,matrices/15_random_adj_mat_5.txt,0.97
0,15,5081280.0,5000000.0,3.2351745458801373,matrices/15_random_adj_mat_6.txt,0.97
