,n,avg_real,avg_cpu,med_cost,matrix,initialTemperature
0,15,5152208.0,5000000.0,3.533452338866661,matrices/15_random_adj_mat_9.txt,1
0,20,6255600.0,5625000.0,4.341812064592538,matrices/20_random_adj_mat_0.txt,1
0,20,6428056.0,6875000.0,5.137919428207132,matrices/20_random_adj_mat_1.txt,1
0,20,6808568.0,6875000.0,4.9308035416121445,matrices/20_random_adj_mat_2.txt,1
0,20,6416356.0,6250000.0,4.848313205782117,matrices/20_random_adj_mat_3.txt,1
0,20,6311924.0,6250000.0,4.652415469622868,matrices/20_random_adj_mat_4.txt,1
0,20,6145452.0,6250000.0,4.207053633082868,matrices/20_random_adj_mat_5.txt,1
0,20,6163616.0,6250000.0,4.851213206434954,matrices/20_random_adj_mat_6.txt,1
0,20,6101832.0,6250000.0,4.064729500616019,matrices/20_random_adj_mat_7.txt,1
0,20,6129752.0,6250000.0,5.337155400535229,matrices/20_random_adj_mat_8.txt,1
0,20,6088792.0,6250000.0,4.208953269602398,matrices/20_random_adj_mat_9.txt,1
0,25,7046760.0,6875000.0,5.139179535024619,matrices/25_random_adj_mat_0.txt,1
0,25,7068580.0,7500000.0,5.704820386485744,matrices/25_random_adj_mat_1.txt,1
0,25,6958452.0,6875000.0,5.115921491540653,matrices/25_random_adj_mat_2.txt,1
0,25,6985456.0,6875000.0,5.578432385717059,matrices/25_random_adj_mat_3.txt,1
0,25,7019832.0,6875000.0,5.643958678630545,matrices/25_random_adj_mat_4.txt,1
0,25,7021012.0,6875000.0,5.8187581778512065,matrices/25_random_adj_mat_5.txt,1
0,25,6969276.0,6875000.0,5.170788281174737,matrices/25_random_adj_mat_6.txt,1
0,25,7026176.0,6875000.0,5.905293146981909,matrices/25_random_adj_mat_7.txt,1
0,25,6978768.0,6875000.0,5.473084304821781,matrices/25_random_adj_mat_8.txt,1
0,25,7018404.0,6875000.0,5.0968879886782945,matrices/25_random_adj_mat_9.txt,1
0,30,8071112.0,8125000.0,6.865918441428719,matrices/30_random_adj_mat_0.txt,1
0,30,7965592.0,8125000.0,6.476929588666716,matrices/30_random_adj_mat_1.txt,1
0,30,7949888.0,8125000.0,6.7442751735802045,matrices/30_random_adj_mat_2.txt,1
0,30,7942012.0,7500000.0,6.863546348702844,matrices/30_random_adj_mat_3.txt,1
0,30,7919168.0,7500000.0,6.588184995059031,matrices/30_random_adj_mat_4.txt,1
0,30,8008120.0,8125000.0,7.125026588396881,matrices/30_random_adj_mat_5.txt,1
0,30,8003740.0,8125000.0,6.4486269153229205,matrices/30_random_adj_mat_6.txt,1
0,30,7959748.0,8125000.0,6.808271272240896,matrices/30_random_adj_mat_7.txt,1
0,30,7965116.0,8125000.0,6.794999761773827,matrices/30_random_adj_mat_8.txt,1
0,30,8023224.0,8125000.0,6.076662438063749,matrices/30_random_adj_mat_9.txt,1
0,30,7945076.0,8125000.0,6.853018722064924,matrices/30_random_adj_mat_0.txt,1
0,30,7900936.0,7500000.0,6.523924860833485,matrices/30_random_adj_mat_1.txt,1
0,30,8497216.0,8750000.0,7.147524586684876,matrices/30_random_adj_mat_2.txt,1
0,30,8071164.0,7500000.0,6.706937264875476,matrices/30_random_adj_mat_3.txt,1
0,30,7967796.0,8125000.0,6.445654744203624,matrices/30_random_adj_mat_4.txt,1
0,30,8497984.0,8125000.0,7.06970502858307,matrices/30_random_adj_mat_5.txt,1
0,30,7982612.0,7500000.0,6.521396000211463,matrices/30_random_adj_mat_6.txt,1
0,30,7949832.0,8125000.0,6.682807254287063,matrices/30_random_adj_mat_7.txt,1
0,30,7949564.0,8125000.0,6.845055089172689,matrices/30_random_adj_mat_8.txt,1
0,30,7993048.0,8125000.0,6.233309063358939,matrices/30_random_adj_mat_9.txt,1
0,40,10086452.0,10000000.0,8.873187715663782,matrices/40_random_adj_mat_0.txt,1
0,40,10015396.0,10000000.0,8.561321314686504,matrices/40_random_adj_mat_1.txt,1
0,40,9990824.0,10000000.0,8.832731181679359,matrices/40_random_adj_mat_2.txt,1
0,40,9950132.0,10000000.0,8.611098575751857,matrices/40_random_adj_mat_3.txt,1
0,40,9990120.0,10000000.0,8.466834113543234,matrices/40_random_adj_mat_4.txt,1
0,40,10109448.0,10000000.0,8.995719094910424,matrices/40_random_adj_mat_5.txt,1
0,40,9983744.0,10000000.0,8.091944889474046,matrices/40_random_adj_mat_6.txt,1
0,40,9994676.0,10000000.0,8.532254996459342,matrices/40_random_adj_mat_7.txt,1
0,40,10037404.0,10000000.0,8.537426520333032,matrices/40_random_adj_mat_8.txt,1
0,40,10251340.0,10625000.0,9.107765874866116,matrices/40_random_adj_mat_9.txt,1
0,50,12110504.0,11875000.0,10.928341776931896,matrices/50_random_adj_mat_0.txt,1
0,50,11976116.0,11875000.0,10.527917444829763,matrices/50_random_adj_mat_1.txt,1
0,50,12016732.0,12500000.0,10.402801424114893,matrices/50_random_adj_mat_2.txt,1
0,50,12043064.0,11875000.0,10.076784279432362,matrices/50_random_adj_mat_3.txt,1
0,50,12790264.0,12500000.0,10.99017385662878,matrices/50_random_adj_mat_4.txt,1
0,50,12505384.0,12500000.0,11.033328715950567,matrices/50_random_adj_mat_5.txt,1
0,50,11980216.0,11875000.0,10.753913285925275,matrices/50_random_adj_mat_6.txt,1
0,50,11971644.0,11875000.0,11.055051911342945,matrices/50_random_adj_mat_7.txt,1
