,n,avg_real,avg_cpu,med_cost,matrix,mutation_chance
0,15,40004712.0,40000000.0,3.226884424046164,matrices/15_random_adj_mat_6.txt,0.0
0,15,39159916.0,39375000.0,3.4802707768385415,matrices/15_random_adj_mat_7.txt,0.0
0,15,39920764.0,40000000.0,3.27374168579427,matrices/15_random_adj_mat_8.txt,0.0
0,15,39385316.0,39375000.0,3.8155570034578368,matrices/15_random_adj_mat_9.txt,0.0
0,20,66311800.0,65625000.0,4.693279089377191,matrices/20_random_adj_mat_0.txt,0.0
0,20,65874752.0,65625000.0,5.766700577709468,matrices/20_random_adj_mat_1.txt,0.0
0,20,66604720.0,66250000.0,5.333392377665961,matrices/20_random_adj_mat_2.txt,0.0
0,20,65748204.0,65625000.0,5.235882537839045,matrices/20_random_adj_mat_3.txt,0.0
0,20,65982740.0,65625000.0,5.0608792615177025,matrices/20_random_adj_mat_4.txt,0.0
0,20,66006452.0,65625000.0,4.432008025986157,matrices/20_random_adj_mat_5.txt,0.0
0,20,66415900.0,66250000.0,5.154024898815002,matrices/20_random_adj_mat_6.txt,0.0
0,20,65778368.0,66250000.0,4.498442243226792,matrices/20_random_adj_mat_7.txt,0.0
0,20,66702888.0,66875000.0,6.048475880470959,matrices/20_random_adj_mat_8.txt,0.0
0,20,65309388.0,65000000.0,4.938011080189113,matrices/20_random_adj_mat_9.txt,0.0
0,25,101258860.0,100625000.0,5.962315114776104,matrices/25_random_adj_mat_0.txt,0.0
0,25,100790372.0,101250000.0,6.7025536858618,matrices/25_random_adj_mat_1.txt,0.0
0,25,101149968.0,101250000.0,6.01229586698418,matrices/25_random_adj_mat_2.txt,0.0
0,25,101919384.0,101875000.0,6.392749995527335,matrices/25_random_adj_mat_3.txt,0.0
0,25,100692368.0,100000000.0,6.435177800903947,matrices/25_random_adj_mat_4.txt,0.0
0,25,100231192.0,100000000.0,7.345664624311349,matrices/25_random_adj_mat_5.txt,0.0
0,25,101022320.0,100625000.0,5.83192221805759,matrices/25_random_adj_mat_6.txt,0.0
0,25,101757784.0,100625000.0,7.38596990122496,matrices/25_random_adj_mat_7.txt,0.0
0,25,101267612.0,101250000.0,6.755072940253117,matrices/25_random_adj_mat_8.txt,0.0
0,25,100466116.0,100000000.0,5.788703538934504,matrices/25_random_adj_mat_9.txt,0.0
0,30,145093744.0,144375000.0,9.041445710401792,matrices/30_random_adj_mat_0.txt,0.0
0,30,142755204.0,143125000.0,8.347025496528966,matrices/30_random_adj_mat_1.txt,0.0
0,30,144498520.0,144375000.0,8.948425902800727,matrices/30_random_adj_mat_2.txt,0.0
0,30,143785164.0,143125000.0,8.983703401134381,matrices/30_random_adj_mat_3.txt,0.0
0,30,144866160.0,145000000.0,8.760621225565249,matrices/30_random_adj_mat_4.txt,0.0
0,30,143000248.0,143125000.0,9.520375984877965,matrices/30_random_adj_mat_5.txt,0.0
0,30,145838864.0,145000000.0,8.190839067778377,matrices/30_random_adj_mat_6.txt,0.0
0,30,143165192.0,143125000.0,8.627968703278114,matrices/30_random_adj_mat_7.txt,0.0
0,30,144517184.0,144375000.0,8.759772744266119,matrices/30_random_adj_mat_8.txt,0.0
0,30,143373828.0,143750000.0,8.046174386833812,matrices/30_random_adj_mat_9.txt,0.0
0,30,145458232.0,144375000.0,8.917442142961827,matrices/30_random_adj_mat_0.txt,0.0
0,30,144939032.0,143750000.0,8.232579871805154,matrices/30_random_adj_mat_1.txt,0.0
0,30,143562808.0,143125000.0,8.866525523442846,matrices/30_random_adj_mat_2.txt,0.0
0,30,145343120.0,145625000.0,9.255049654097444,matrices/30_random_adj_mat_3.txt,0.0
0,30,144989460.0,145000000.0,8.72866889527668,matrices/30_random_adj_mat_4.txt,0.0
0,30,146595556.0,146875000.0,9.512419548475862,matrices/30_random_adj_mat_5.txt,0.0
0,30,145870760.0,145625000.0,8.271599747609809,matrices/30_random_adj_mat_6.txt,0.0
0,30,145922640.0,145625000.0,8.89086292911604,matrices/30_random_adj_mat_7.txt,0.0
0,30,144034644.0,143125000.0,8.914384315391198,matrices/30_random_adj_mat_8.txt,0.0
0,30,144573064.0,145000000.0,7.925689607794359,matrices/30_random_adj_mat_9.txt,0.0
0,40,264355064.0,263750000.0,14.148770723952081,matrices/40_random_adj_mat_0.txt,0.0
0,40,263077988.0,263125000.0,12.195261412732954,matrices/40_random_adj_mat_1.txt,0.0
0,40,262848916.0,261875000.0,12.76233954584195,matrices/40_random_adj_mat_2.txt,0.0
0,40,264141356.0,263125000.0,13.09472984031119,matrices/40_random_adj_mat_3.txt,0.0
0,40,262376368.0,261875000.0,12.361023517046583,matrices/40_random_adj_mat_4.txt,0.0
0,40,268056312.0,267500000.0,13.563041242209199,matrices/40_random_adj_mat_5.txt,0.0
0,40,262527736.0,261875000.0,11.870099002513518,matrices/40_random_adj_mat_6.txt,0.0
0,40,264223008.0,263125000.0,12.653209703638353,matrices/40_random_adj_mat_7.txt,0.0
0,40,264637288.0,263750000.0,13.161891042526397,matrices/40_random_adj_mat_8.txt,0.0
0,40,263887072.0,263125000.0,14.307456511524615,matrices/40_random_adj_mat_9.txt,0.0
0,50,431148088.0,430000000.0,18.625293113695555,matrices/50_random_adj_mat_0.txt,0.0
0,50,431965252.0,431250000.0,17.188037483858732,matrices/50_random_adj_mat_1.txt,0.0
0,50,430558896.0,429375000.0,16.403770582750273,matrices/50_random_adj_mat_2.txt,0.0
0,50,432061860.0,431875000.0,16.60295156281989,matrices/50_random_adj_mat_3.txt,0.0
0,50,429024436.0,428750000.0,18.17422333685548,matrices/50_random_adj_mat_4.txt,0.0
0,50,431825636.0,430625000.0,17.851108235120158,matrices/50_random_adj_mat_5.txt,0.0
0,50,429240788.0,429375000.0,18.24170170320403,matrices/50_random_adj_mat_6.txt,0.0
0,50,432528888.0,430625000.0,18.355892025956457,matrices/50_random_adj_mat_7.txt,0.0
0,50,430194476.0,430000000.0,16.92849981022479,matrices/50_random_adj_mat_8.txt,0.0
0,50,434518808.0,431875000.0,16.383587277278743,matrices/50_random_adj_mat_9.txt,0.0
0,5,8135168.0,8125000.0,2.249612736828632,matrices/5_random_adj_mat_0.txt,0.05
0,5,7528824.0,7500000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,0.05
