,n,avg_real,avg_cpu,med_cost,matrix,k
0,20,985617.0,937500.0,5.626036657093518,matrices/20_random_adj_mat_3.txt,3
0,20,987953.0,937500.0,5.454356674053566,matrices/20_random_adj_mat_4.txt,3
0,20,985519.0,1093750.0,4.960460239337366,matrices/20_random_adj_mat_5.txt,3
0,20,982671.0,937500.0,5.646969578738293,matrices/20_random_adj_mat_6.txt,3
0,20,985766.0,1093750.0,4.913371097697378,matrices/20_random_adj_mat_7.txt,3
0,20,985203.0,937500.0,6.351136317013342,matrices/20_random_adj_mat_8.txt,3
0,20,974338.0,937500.0,5.270629540916491,matrices/20_random_adj_mat_9.txt,3
0,25,1420001.0,1406250.0,5.749154755182259,matrices/25_random_adj_mat_0.txt,3
0,25,1436704.0,1406250.0,6.647207132552632,matrices/25_random_adj_mat_1.txt,3
0,25,1432038.0,1406250.0,6.017167207090996,matrices/25_random_adj_mat_2.txt,3
0,25,1421960.0,1406250.0,6.115788162111869,matrices/25_random_adj_mat_3.txt,3
0,25,1430038.0,1406250.0,6.56645595211751,matrices/25_random_adj_mat_4.txt,3
0,25,1411823.0,1406250.0,6.946881074689188,matrices/25_random_adj_mat_5.txt,3
0,25,1409672.0,1406250.0,5.700439472125172,matrices/25_random_adj_mat_6.txt,3
0,25,1420907.0,1406250.0,6.895274871480723,matrices/25_random_adj_mat_7.txt,3
0,25,1419728.0,1406250.0,6.532501470295836,matrices/25_random_adj_mat_8.txt,3
0,25,1422121.0,1406250.0,5.733054765463276,matrices/25_random_adj_mat_9.txt,3
0,30,1973039.0,2031250.0,7.510452843535488,matrices/30_random_adj_mat_0.txt,3
0,30,1953381.0,2031250.0,7.202992101497492,matrices/30_random_adj_mat_1.txt,3
0,30,1956727.0,1875000.0,7.492809071734456,matrices/30_random_adj_mat_2.txt,3
0,30,1963231.0,1875000.0,7.746505748808811,matrices/30_random_adj_mat_3.txt,3
0,30,1957792.0,1875000.0,7.396888910613974,matrices/30_random_adj_mat_4.txt,3
0,30,1986983.0,2031250.0,8.000176136518686,matrices/30_random_adj_mat_5.txt,3
0,30,1954436.0,2031250.0,7.046584573523516,matrices/30_random_adj_mat_6.txt,3
0,30,1969118.0,2031250.0,7.250875236964152,matrices/30_random_adj_mat_7.txt,3
0,30,1961159.0,1875000.0,7.501333151281609,matrices/30_random_adj_mat_8.txt,3
0,30,1972917.0,2031250.0,6.862366076492171,matrices/30_random_adj_mat_9.txt,3
0,40,3352125.0,3281250.0,8.862610914588105,matrices/40_random_adj_mat_0.txt,3
0,40,3335979.0,3437500.0,8.693487688022167,matrices/40_random_adj_mat_1.txt,3
0,40,3335264.0,3281250.0,8.810383875002314,matrices/40_random_adj_mat_2.txt,3
0,40,3364231.0,3437500.0,9.25829953370286,matrices/40_random_adj_mat_3.txt,3
0,40,3408029.0,3437500.0,8.480711632654575,matrices/40_random_adj_mat_4.txt,3
0,40,3346319.0,3281250.0,9.036770275088006,matrices/40_random_adj_mat_5.txt,3
0,40,3346996.0,3437500.0,7.979015101341892,matrices/40_random_adj_mat_6.txt,3
0,40,3365433.0,3437500.0,8.751169158105284,matrices/40_random_adj_mat_7.txt,3
0,40,3343903.0,3281250.0,8.49857158869715,matrices/40_random_adj_mat_8.txt,3
0,40,3340243.0,3281250.0,9.233230967635492,matrices/40_random_adj_mat_9.txt,3
0,50,5121626.0,5000000.0,9.615538473406017,matrices/50_random_adj_mat_0.txt,3
0,50,5148989.0,5156250.0,9.648690971333739,matrices/50_random_adj_mat_1.txt,3
0,50,5113272.0,5156250.0,9.516814454631028,matrices/50_random_adj_mat_2.txt,3
0,50,5137770.0,5156250.0,9.304480321113143,matrices/50_random_adj_mat_3.txt,3
0,50,5141512.0,5156250.0,9.7912214490226,matrices/50_random_adj_mat_4.txt,3
0,50,5135540.0,5156250.0,10.143286036284,matrices/50_random_adj_mat_5.txt,3
0,50,5085707.0,5156250.0,10.187125930864976,matrices/50_random_adj_mat_6.txt,3
0,50,5104451.0,5156250.0,9.708820428090203,matrices/50_random_adj_mat_7.txt,3
0,50,5107300.0,5000000.0,9.442666886791883,matrices/50_random_adj_mat_8.txt,3
0,50,5140832.0,5156250.0,9.123156786599292,matrices/50_random_adj_mat_9.txt,3
