,n,avg_real,avg_cpu,med_cost,matrix
0,5,405345.0,0.0,2.249612736828632,matrices/5_random_adj_mat_0.txt
0,5,371560.0,781250.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt
0,5,406350.0,0.0,2.092769076252572,matrices/5_random_adj_mat_2.txt
0,5,366380.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt
0,5,373585.0,781250.0,1.8381227481602793,matrices/5_random_adj_mat_4.txt
0,5,372380.0,0.0,2.907493662653474,matrices/5_random_adj_mat_5.txt
0,5,382035.0,781250.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt
0,5,399970.0,0.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt
0,5,388470.0,0.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt
0,5,367005.0,781250.0,2.616055718212318,matrices/5_random_adj_mat_9.txt
0,6,533900.0,0.0,2.6603705791553898,matrices/6_random_adj_mat_0.txt
0,6,439835.0,781250.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt
0,6,478455.0,781250.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt
0,6,449565.0,0.0,2.715084117393127,matrices/6_random_adj_mat_3.txt
0,6,437500.0,781250.0,2.204890873346207,matrices/6_random_adj_mat_4.txt
0,6,446015.0,781250.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt
0,6,460840.0,0.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt
0,6,430865.0,781250.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt
0,6,452435.0,781250.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt
0,6,423775.0,0.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt
0,7,489600.0,781250.0,2.642560600583172,matrices/7_random_adj_mat_0.txt
0,7,490105.0,781250.0,2.113815037311305,matrices/7_random_adj_mat_1.txt
0,7,531550.0,781250.0,2.8695142774686477,matrices/7_random_adj_mat_2.txt
0,7,495550.0,0.0,2.846818037575111,matrices/7_random_adj_mat_3.txt
0,7,559920.0,781250.0,2.555402521891551,matrices/7_random_adj_mat_4.txt
0,7,535125.0,781250.0,2.572356446914053,matrices/7_random_adj_mat_5.txt
0,7,497975.0,0.0,2.430535201962314,matrices/7_random_adj_mat_6.txt
0,7,510560.0,0.0,2.9180776262345116,matrices/7_random_adj_mat_7.txt
0,7,513540.0,781250.0,2.313145784495734,matrices/7_random_adj_mat_8.txt
0,7,500195.0,781250.0,2.0569695603058964,matrices/7_random_adj_mat_9.txt
0,8,606110.0,781250.0,2.1887860266030845,matrices/8_random_adj_mat_0.txt
0,8,575900.0,0.0,2.654947586263644,matrices/8_random_adj_mat_1.txt
0,8,596270.0,781250.0,2.994320920176083,matrices/8_random_adj_mat_2.txt
0,8,587505.0,781250.0,2.6441129938263295,matrices/8_random_adj_mat_3.txt
0,8,601825.0,781250.0,2.3063461388141313,matrices/8_random_adj_mat_4.txt
0,8,587320.0,781250.0,2.6396997135116522,matrices/8_random_adj_mat_5.txt
0,8,607995.0,0.0,2.763113156297781,matrices/8_random_adj_mat_6.txt
