,n,avg_real,avg_cpu,med_cost,matrix,restarts
0,15,904900.0,0.0,5.708212324948365,matrices/15_random_adj_mat_4.txt,1
0,15,1255700.0,0.0,3.9092390373587493,matrices/15_random_adj_mat_5.txt,1
0,15,1685600.0,0.0,3.627864634143643,matrices/15_random_adj_mat_6.txt,1
0,15,1185700.0,0.0,4.405238887389302,matrices/15_random_adj_mat_7.txt,1
0,15,806700.0,0.0,4.677092823008561,matrices/15_random_adj_mat_8.txt,1
0,15,1701700.0,0.0,3.958254609650239,matrices/15_random_adj_mat_9.txt,1
0,20,2117200.0,15625000.0,4.73937717030216,matrices/20_random_adj_mat_0.txt,1
0,20,2753700.0,0.0,6.141994994189744,matrices/20_random_adj_mat_1.txt,1
0,20,1586200.0,0.0,7.153305608857645,matrices/20_random_adj_mat_2.txt,1
0,20,1487900.0,0.0,6.8666931480451545,matrices/20_random_adj_mat_3.txt,1
0,20,1872100.0,0.0,7.336021884322423,matrices/20_random_adj_mat_4.txt,1
0,20,1878800.0,0.0,6.389206484108691,matrices/20_random_adj_mat_5.txt,1
0,20,2061500.0,0.0,6.538214731510389,matrices/20_random_adj_mat_6.txt,1
0,20,2537500.0,0.0,5.803654670221769,matrices/20_random_adj_mat_7.txt,1
0,20,1460200.0,0.0,7.12550927115006,matrices/20_random_adj_mat_8.txt,1
0,20,2003700.0,0.0,5.538494683061803,matrices/20_random_adj_mat_9.txt,1
0,25,2361100.0,15625000.0,7.8345860400207235,matrices/25_random_adj_mat_0.txt,1
0,25,2263600.0,0.0,7.783842505139661,matrices/25_random_adj_mat_1.txt,1
0,25,2819200.0,0.0,6.310205530598375,matrices/25_random_adj_mat_2.txt,1
0,25,3567500.0,0.0,7.035134956853293,matrices/25_random_adj_mat_3.txt,1
0,25,2740400.0,15625000.0,8.32872676230614,matrices/25_random_adj_mat_4.txt,1
0,25,3392300.0,0.0,7.612025430864174,matrices/25_random_adj_mat_5.txt,1
0,25,2710400.0,0.0,7.2340190196126395,matrices/25_random_adj_mat_6.txt,1
0,25,3049000.0,0.0,7.990003292313466,matrices/25_random_adj_mat_7.txt,1
0,25,3895700.0,15625000.0,7.228830842098975,matrices/25_random_adj_mat_8.txt,1
0,25,2831800.0,0.0,7.141794087328191,matrices/25_random_adj_mat_9.txt,1
0,30,4695200.0,0.0,8.80680904231051,matrices/30_random_adj_mat_0.txt,1
0,30,4365100.0,15625000.0,8.56681981277098,matrices/30_random_adj_mat_1.txt,1
0,30,3750500.0,0.0,11.974481051779795,matrices/30_random_adj_mat_2.txt,1
0,30,4870700.0,0.0,9.298587888312161,matrices/30_random_adj_mat_3.txt,1
0,30,3605100.0,0.0,9.305766550830576,matrices/30_random_adj_mat_4.txt,1
0,30,2038900.0,0.0,12.899173514577914,matrices/30_random_adj_mat_5.txt,1
0,30,3634600.0,0.0,9.13240071287691,matrices/30_random_adj_mat_6.txt,1
0,30,3567600.0,15625000.0,9.781338966896701,matrices/30_random_adj_mat_7.txt,1
0,30,4002200.0,0.0,9.326256894237549,matrices/30_random_adj_mat_8.txt,1
0,30,3825100.0,0.0,7.616612653594589,matrices/30_random_adj_mat_9.txt,1
0,30,3316700.0,15625000.0,10.230908581275635,matrices/30_random_adj_mat_0.txt,1
0,30,3574300.0,0.0,8.30259096956105,matrices/30_random_adj_mat_1.txt,1
0,30,2680700.0,0.0,11.117407737479672,matrices/30_random_adj_mat_2.txt,1
