,med_cost,restarts
0,2.426402243497891,"[np.float64(4.744422542235771), np.float64(4.728169877091519), np.float64(4.1626580966141), np.float64(3.5110819738873484), np.float64(3.4042810345221386), np.float64(3.2885127943507704), np.float64(3.2312678840978717), np.float64(2.90622325273861)]"
0,2.91984797950471,"[np.float64(5.7841587987255405), np.float64(4.927580527933787), np.float64(4.700485953410902), np.float64(4.279531208012806), np.float64(4.0702825513031575), np.float64(3.8230151013603084), np.float64(3.8062204245452964), np.float64(3.373805630286557), np.float64(3.3508964778944748), np.float64(3.11144950612477), np.float64(3.0494234999078644), np.float64(2.91984797950471)]"
0,3.351320331000942,"[np.float64(6.05192524413948), np.float64(5.7046670701442), np.float64(4.894756465079848), np.float64(4.834359973091464), np.float64(4.811446767392908), np.float64(4.575217934089857), np.float64(4.022045176736943), np.float64(3.8598586117847224), np.float64(3.668523241979612), np.float64(3.4275842484945906), np.float64(3.3513203310009425)]"
0,3.297805212130009,"[np.float64(5.263459797257567), np.float64(4.877600557678354), np.float64(4.303832653430376), np.float64(3.8586044668857333), np.float64(3.374853430632619), np.float64(3.3705501414637884)]"
0,3.2268629179918995,"[np.float64(4.821915729133226), np.float64(4.817583789064488), np.float64(4.616738658933334), np.float64(4.522444927425175), np.float64(4.31745164460351), np.float64(3.798868542726552), np.float64(3.635492202968769)]"
0,2.334051028911733,"[np.float64(4.678376452557851), np.float64(4.623626854797684), np.float64(4.396456704455247), np.float64(3.960139533011148), np.float64(3.516373210627679), np.float64(3.062186648876503), np.float64(2.763770266716169), np.float64(2.653721696914458), np.float64(2.5950700340151394)]"
0,2.8527480232166775,"[np.float64(6.691332679477805), np.float64(5.761342731554857), np.float64(5.483615174755991), np.float64(4.859816680640351), np.float64(4.845575098014746), np.float64(4.49024139460811), np.float64(4.445546409073472), np.float64(4.421110141143214), np.float64(3.802904293699476), np.float64(3.6138807945370646), np.float64(3.4631018573505963)]"
0,2.836224058799113,"[np.float64(5.66375382894192), np.float64(5.060225010712983), np.float64(4.509187225098986), np.float64(4.448200199991003), np.float64(3.9931427538530206), np.float64(3.8825864388178086), np.float64(3.6482721109037435), np.float64(3.0773058855526396)]"
0,2.9838991430561856,"[np.float64(6.567002906980404), np.float64(6.559907713026797), np.float64(6.457157637799183), np.float64(5.746042345163575), np.float64(5.600317065140426), np.float64(5.581596424976171), np.float64(5.449034388018811), np.float64(5.262319454989714), np.float64(5.116676010389782), np.float64(4.402562008415223), np.float64(3.7508364779375922), np.float64(3.4548720264433017), np.float64(3.1180689584896237), np.float64(2.9922735580489253)]"
0,2.828184716381501,"[np.float64(5.973128189322511), np.float64(5.504901023739052), np.float64(5.481001228066839), np.float64(5.0763916738688515), np.float64(4.648633467739742), np.float64(4.403516354318336), np.float64(4.052516190153295), np.float64(3.944175171553638), np.float64(3.7458327715650936), np.float64(3.4761867331085767)]"
0,4.069357103628063,"[np.float64(7.790775807617721), np.float64(7.768430172402497), np.float64(7.445986944494799), np.float64(6.75581372900455), np.float64(6.49914362720665), np.float64(6.396748553678386), np.float64(6.21511570410657), np.float64(5.961204939816648), np.float64(5.619542497550459), np.float64(5.510571811880005), np.float64(5.308649878997045)]"
0,3.6078797360911414,"[np.float64(6.750532481139091), np.float64(6.395979870333595), np.float64(6.2865463128622645), np.float64(6.2025274394208365), np.float64(5.42995878015386), np.float64(4.859768372561635), np.float64(4.807572289819682), np.float64(4.588539855678122), np.float64(3.864655858831042), np.float64(3.863377258658752), np.float64(3.831674138796543), np.float64(3.731965095441516), np.float64(3.671338850464642)]"
0,3.4847343032388074,"[np.float64(7.49453836562031), np.float64(7.139942519293274), np.float64(6.872088063055478), np.float64(6.688994498252112), np.float64(6.594732771194496), np.float64(6.527987314802599), np.float64(5.901160116900102), np.float64(5.073854214149619), np.float64(4.9622772217566125), np.float64(4.918318756596706)]"
0,3.3329025057570365,"[np.float64(7.908103779458994), np.float64(7.708514653501689), np.float64(7.610344116715609), np.float64(7.135189121682776), np.float64(6.999013023539553), np.float64(6.191115375589746), np.float64(6.113384856122948), np.float64(6.027458010741808), np.float64(5.646154170374338), np.float64(5.52866393381141), np.float64(5.479783516321416), np.float64(5.4464244252593295), np.float64(4.938626708100823), np.float64(4.921792015990094), np.float64(4.515626331710162), np.float64(4.496226818396682), np.float64(4.456817482033468), np.float64(4.361773729507541), np.float64(4.331549804188658), np.float64(4.244156390251217), np.float64(4.009560947388926), np.float64(3.674643139836736), np.float64(3.492255220485308), np.float64(3.4332029487691593)]"
0,3.407034065143174,"[np.float64(8.912141683363364), np.float64(8.412393503123205), np.float64(7.9446067359013455), np.float64(6.90736358511931), np.float64(5.777418967375597), np.float64(5.72900011092128), np.float64(5.681648725441578), np.float64(5.299607705962275), np.float64(5.265951802317806), np.float64(5.238118782306774), np.float64(5.041644068044048), np.float64(4.188895414350623), np.float64(4.060123534856122), np.float64(3.8605545076490158), np.float64(3.815968359931638)]"
0,3.092662455051782,"[np.float64(7.283186864325776), np.float64(7.160196961835375), np.float64(6.539089054456424), np.float64(6.008427857017095), np.float64(5.98826006682402), np.float64(5.768242464840189), np.float64(5.633366950773963), np.float64(5.02165304139107), np.float64(4.964051696159308), np.float64(4.938090676471895), np.float64(4.633480272035596), np.float64(4.610176513620204), np.float64(4.456107723269559), np.float64(4.251707161784875), np.float64(4.233166945692828), np.float64(4.2081857545408), np.float64(4.170309165137482), np.float64(4.074506070123161), np.float64(4.049516585969164), np.float64(3.175936547748625), np.float64(3.1181603709070487)]"
0,3.1607819029689135,"[np.float64(6.377856600841904), np.float64(5.804550189713883), np.float64(5.213889907427851), np.float64(5.11390711761932), np.float64(4.941781020166639), np.float64(4.81922076611935), np.float64(4.794021564139816), np.float64(4.34611452599012), np.float64(4.246370561213533), np.float64(4.213905720569287), np.float64(4.200476056664595), np.float64(4.155546380713457), np.float64(4.052109997680928)]"
0,3.0364410996333673,"[np.float64(6.55127976516218), np.float64(5.934892647790935), np.float64(5.583364565003375), np.float64(5.579522774148012), np.float64(5.552113168577196), np.float64(5.530540752549927), np.float64(5.523062414767577), np.float64(4.912372520147959), np.float64(4.882891412224175), np.float64(4.690098925702083), np.float64(4.592976723320608), np.float64(4.4225817939565495), np.float64(4.404601343078183), np.float64(4.392320450886427), np.float64(4.36581961855313), np.float64(4.22848287451597), np.float64(4.225662751267026), np.float64(3.9783061954430474), np.float64(3.8517010950078685), np.float64(3.643967082130404), np.float64(3.583176436187131), np.float64(3.4543614369210878), np.float64(3.340166114859057), np.float64(3.2204831459428314), np.float64(3.187182526452345), np.float64(3.1243221569435145), np.float64(3.0364410996333673)]"
0,2.9059994753156677,"[np.float64(7.302581846510178), np.float64(6.833409349326494), np.float64(5.931330723694536), np.float64(5.84278325789848), np.float64(5.776871518072081), np.float64(5.218965157913509), np.float64(4.752675986455856), np.float64(4.681678765562651), np.float64(4.192196823707436), np.float64(3.846128609348029), np.float64(3.84165782864889), np.float64(3.830127095746639), np.float64(3.754112146981391), np.float64(3.3939656689418967), np.float64(3.3906259940608683), np.float64(3.174206465701288), np.float64(3.0271113944849537), np.float64(2.9059994753156677)]"
0,3.5068074895616923,"[np.float64(7.6566214791509495), np.float64(7.525150297989566), np.float64(6.727376738440927), np.float64(6.5147464657339995), np.float64(6.410533115905313), np.float64(6.171399062543004), np.float64(6.074262756198185), np.float64(5.778727047243998), np.float64(5.726790159439002), np.float64(5.645519129528042), np.float64(5.591446535372729), np.float64(5.558517747871707), np.float64(4.979635696873554), np.float64(4.864155063645476), np.float64(4.838270252666109), np.float64(4.756780192818626), np.float64(4.546112453777308), np.float64(4.530082908083729), np.float64(4.458968020316824), np.float64(4.3527353629812335), np.float64(4.2680774450939944), np.float64(4.015389904201284), np.float64(4.006035250041786), np.float64(3.8679175194926185), np.float64(3.656538261155491)]"
0,4.090626608786775,"[np.float64(9.768424071037913), np.float64(8.608423024209285), np.float64(8.498292852955167), np.float64(8.189966343190644), np.float64(7.474698082268544), np.float64(7.37040429841705), np.float64(7.276927698613504), np.float64(7.024008551271573), np.float64(6.655965084969111), np.float64(6.441470865196736), np.float64(6.198155193506526), np.float64(5.8333864447635975), np.float64(5.693163166401879), np.float64(5.613426517046869), np.float64(5.480942472704004), np.float64(5.084385257982769), np.float64(5.071671930864361), np.float64(5.0176032790595215), np.float64(4.965145904874346)]"
